Feature	CompGroup.C.	BaseGroup.B.	NumSamplesInC	NumSamplesInB	SignedFC	Tstatistic	Parameter	Pvalue	X95.Conf.Int.1	X95.Conf.Int.2	MeanC	MeanB	NullValue.DifferenceInMeans	Alternative	Method	FDR
X2891644_FOXF2	Relapsed	No_relapse	20	20	-1.1978323491774	-2.37717157505608	37.8392724754972	0.0226067798408295	-0.482235157624406	-0.0386168423755932	4.7753465	5.0357725	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2967276_POPDC3	Relapsed	No_relapse	20	20	-1.27358433848412	-2.37193418639062	37.0623451041719	0.0229996849672086	-0.64691595115207	-0.0508730488479298	2.4014955	2.75039	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2999640_UBE2D4	Relapsed	No_relapse	20	20	1.12758406889091	2.3674470756127	37.778854806611	0.0231372810476813	0.0250739896937932	0.321396010306207	5.744445	5.57121	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3315024_ADAM8	Relapsed	No_relapse	20	20	1.10673782290927	2.36670865613362	37.9946178660129	0.0231465017665598	0.0211618161985393	0.27146518380146	5.145599	4.9992855	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2806468_IL7R	Relapsed	No_relapse	20	20	-1.18622608337368	-2.37742867742327	34.0575697950392	0.023191285484228	-0.456972571660449	-0.0357854283395509	3.634767	3.881146	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3273578_IDI2	Relapsed	No_relapse	20	20	1.23312880277503	2.37354528013811	34.9011006074556	0.0232549752369843	0.0437181486626842	0.560928851337316	2.9740545	2.671731	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3940001_CYTSA	Relapsed	No_relapse	20	20	1.24765754503212	2.36316039033072	37.8747724712445	0.0233569744310856	0.0457317488975696	0.59271225110243	5.6937675	5.3745455	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3444117_KLRC3	Relapsed	No_relapse	20	20	-1.18301961958223	-2.40018813537274	27.3221253628907	0.0234599854778286	-0.449641608823595	-0.035306391176405	1.268921	1.511395	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3624410_BCL2L10	Relapsed	No_relapse	20	20	1.23209457425194	2.36187874138147	37.0917341752526	0.023542227453509	0.0428177914147639	0.559408208585236	3.286438	2.985325	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3201225_IFNA10	Relapsed	No_relapse	20	20	-1.54184581225305	-2.37232276380401	33.4167206125434	0.0235827879865735	-1.16011493131233	-0.0892020686876749	1.498746	2.1234045	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3371928_ARFGAP2	Relapsed	No_relapse	20	20	1.17660575673401	2.35830373651978	37.2659651084951	0.0237133595959898	0.0330907766713025	0.436171223328698	5.4274215	5.1927905	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2635812_PLCXD2	Relapsed	No_relapse	20	20	1.13011062263548	2.35536929438438	37.6582174651787	0.0238182387033123	0.0247514018786269	0.328176598121373	5.1187485	4.9422845	0	two.sided	Welch Two Sample t-test	0.998325515159334
